D8	teste
D10	Teste
D12	Somátoria_Deslocamento
D14	Somátoria_Força
D16	Somátoria_Deslocamento ao quadrado
D18	Somátoria_Força ao quadrado
D20	Somátoria_Deslocamento_Força
D22	Contador_de variavel
D24	Inclinação da Reta
D26	R
D28	R²
D32	Módulo de flexão
D34	IHM_Modulo_de_Flexão
D40	IHM_vão_float
D42	IHM_Largura_da_secção_float
D44	IHM_Espessura_da_secção_Float
D46	LIMITE PARA R²
D90	Força Atual
D100	Valor Max_em _Pontos
D101	Valor_Minimo _Em_Pontos
D102	Valor _Max_escala
D103	Valor_Min_Escala
D400	Desl
D408	Vel_Prog_IHM
D412	Desl_Prog_IHM
D414	Limite_Desl_IHM
D422	IHM_VAL_CELU
D434	IHM_Espessura_da_secção
D436	IHM_Largura_da_secção
D438	IHM_Vão
D508	Vel
D598	DESLOC_REAL_flex
D600	DESLOC_REAL
D602	Força_Kgf
D604	Comprimento_Final_Flexão
D606	Comprimento_Final_Flexão_-1
D610	comprimento_final
D622	F_N
D624	ALTURA_IHM
D626	LARGURA_IHM
D628	MOMEN_INER
D630	VÃO_IHM
D632	TENSÃO
D634	DEFOR_SUPER
D636	MODUL_FLEXÃ
D638	MOMENTO_MAX
D640	Kgf_2
D642	TENSÃO MÁXIMA
D644	DESLOC
D650	Valor_tarado
D718	Força Maxima
D720	Conver
D722	Força_max_flexão
D1000	Setting value of the watchdog timer (WDT) (Unit: 1ms)
D1001	Displaying the firmware version of DVP-PLC (For example, the firmware version is 1.0 if the value in D1001 is HXX10.)
D1002	Program capacity (ES2/EX2/SA2/SX2: 15872; SS2: 7920)
D1003	Sum of the PLC internal program memory
D1004	Syntax check error code
D1008	Step address when WDT is ON
D1009	Number of LV (Low voltage) signal occurrence
D1010	Current scan time (Unit: 0.1ms)
D1011	Minimum scan time (Unit: 0.1ms)
D1012	Maximum scan time (Unit: 0.1ms)
D1015	Value of accumulative high-speed timer (0~32,767, unit: 0.1ms)
D1016	Module detection delay time when power on (unit: 100ms)
D1018	£kPI (Low word)
D1019	£kPI(High word)
D1020	X0~X7 input filter (unit: ms) 0~20ms adjustable
D1022	Counting mode selection  for AB phase counter
D1023	Register for Storing detected pulse width (unit: 0.1ms)
D1025	Code for communication request error
D1026	The pulse number for masking Y0 is set when M1156 = ON (Low word)
D1027	The pulse number for masking Y0 is set when M1156 = ON (High word)
D1028	Index register E0
D1029	Index register F0
D1030	PV of Y0 pulse output (Low word)
D1031	PV of Y0 pulse output (High word)
D1032	PV of Y1 pulse output (Low word)
D1033	PV of Y1 pulse output (High word)
D1034	COM1(RS-232) PLC communication address
D1036	COM1 (RS-232) communication protocol
D1037	Register for setting 8-sets SPD function (has to be used with M1037)
D1038	1. Delay time setting for data response when PLC is SLAVE in COM2 / COM3 RS-485 communication. Range: 0 ~ 20 (unit: 0.1ms). 2. By using PLC LINK in COM2 (RS-485), D1038 can be set to send next communication data with delay. Range: 0 ~ 10,000 (Unit: one scan cycle)
D1039	Fixed scan time (ms)
D1040	No. of the 1st step point which is ON.
D1041	No. of the 2nd step point which is ON
D1042	No. of the 3rd step point which is ON.
D1043	No. of the 4th step point which is ON
D1044	No. of the 5th step point which is ON.
D1045	No. of the 6th step point which is ON
D1046	No. of the 7th step point which is ON.
D1047	No. of the 8th step point which is ON
D1049	No. of alarm which is ON
D1050	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1051	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1052	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1053	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1054	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1055	Processing  MODRD communication data The PLC automatically converts the data in D1070~D1085 in the ASCII mode into hexadecimal values, or combines two lower 8 bits in the RTU mode into 16 bits in the RTU mode.
D1056	Low word of X0¡¦s input pulse frequency (Unit: 0.001Hz) It is used with M1357.
D1057	High word of X0¡¦s input pulse frequency (Unit: 0.001Hz) It is used with M1357.
D1058	Low word of X1¡¦s input pulse frequency (Unit: 0.001Hz) It is used with M1358.
D1059	High word of X1¡¦s input pulse frequency (Unit: 0.001Hz) It is used with M1358.
D1062	Average number of times an analog signal is input to the EX2/SX2 series PLC
D1063	PLC read/write the program (include password) and the retained data in memory card PLC read the program (include password) from the memory card: H55AA PLC write the program (include password) to the memory card: HAA55 PLC read the retained data from memory card: H55A9 PLC write the retained data to memory card: HA955 the function is only executed when PLC stop
D1067	Error code for program execution error
D1068	Address of program execution error
D1070	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1071	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1072	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1073	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1074	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1075	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1076	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1077	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1078	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1079	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1080	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
D1081	Feedback data (ASCII) of Modbus communication. When PLC¡¦s RS-485 communication instruction receives feedback signals, the data will be saved in the registers D1070~D1085. Usres can check the received data in these registers.
